#id	flamsteed	bayer	con 	ra	dec	mag
4785	8	Bet	CVn	123344.5	+412127	4.26
4786	9	Bet	Crv	123423.2	-232348	2.65
4787	5	Kap	Dra	123329.0	+694718	3.87
4788				123442.3	-444024	5.77
4789	23		Com	123451.1	+223745	4.81
4790				123529.0	-615031	6.22
4791	24		Com	123506.3	+182238	6.56
4792	24		Com	123507.8	+182237	5.02
4793				123508.1	+215253	5.85
4794				123545.5	-410119	5.13
4795	6		Dra	123444.0	+700119	4.94
4796				123601.2	-395212	5.80
4797				123558.6	-203138	6.20
4798		Alp	Mus	123711.0	-690808	2.69
4799	25		Vir	123647.4	-054955	5.87
4800				123623.3	+592913	5.5 
4801	25		Com	123658.3	+170522	5.68
4802		Tau	Cen	123742.2	-483228	3.86
4803				123742.2	-270820	5.45
4804				123914.5	-752210	6.49
4805				123804.4	+031657	6.33
4806				123852.5	-671135	6.25
4807				123822.4	+015117	5.71
4808				123830.0	+065918	7.08
4809				123844.6	-181501	6.00
4810				123903.5	-302520	5.89
4811	9		CVn	123846.3	+405228	6.37
4812				123902.1	+223934	6.38
4813	26	Chi	Vir	123914.8	-075944	4.66
4814				123955.6	-663042	6.26
4815	26		Com	123907.3	+210345	5.46
4816				123916.9	+355707	6.45
4817				123952.5	-395915	4.64
4818				124123.0	-460844	5.84
4819		Gam	Cen	124131.0	-485735	2.17
4820				124205.1	-692427	6.33
4821				124116.0	-130049	6.08
4822				124116.2	-130054	5.98
4823				124156.6	-594109	4.93
4824	27		Vir	124134.4	+102535	6.19
4825	29	Gam	Vir	124139.6	-012658	3.65
4826	29	Gam	Vir	124139.6	-012658	3.68
4827				124149.2	-194531	6.03
4828	30	Rho	Vir	124153.1	+101408	4.88
4829	31		Vir	124157.1	+064824	5.59
4830				124250.3	-630331	5.31
4831				124235.4	-484847	4.66
4832				124249.6	-555650	6.08
4833	76		UMa	124133.9	+624247	6.07
4834				124309.1	-561034	6.00
4835				124328.2	-585411	6.40
4836				124326.3	-401040	6.44
4837				124338.1	-013437	5.93
4838				124358.7	-362057	6.39
4839				124400.5	-281926	5.48
4840				124304.2	+610920	6.38
4841				124501.7	-684952	6.16
4842		Iot	Cru	124537.9	-605852	4.69
4843				124427.1	+440611	6.33
4844		Bet	Mus	124616.9	-680629	3.05
4845	10		CVn	124459.5	+391644	5.95
4846				124507.8	+452625	4.99
4847	32		Vir	124537.1	+074024	5.22
4848				124622.7	-562920	4.65
4849	33		Vir	124622.5	+093224	5.67
4850				124646.0	-331856	5.86
4851	27		Com	124638.7	+163439	5.12
4852				124426.0	+803716	6.40
4853		Bet	Cru	124743.2	-594119	1.25
4854				124702.3	+055703	6.34
4855	34		Vir	124713.6	+115729	6.07
4856				124733.4	-061807	6.26
4857				124753.7	-245106	6.44
4858	35		Vir	124751.4	+033422	6.41
4859				124718.9	+624651	5.89
4860				124826.4	-273551	5.66
4861	28		Com	124814.3	+133311	6.56
4862				124944.9	-715911	5.55
4863	7		Dra	124734.4	+664725	5.43
4864				124847.0	+245025	6.31
4865	29		Com	124854.2	+140721	5.70
4866	11		CVn	124841.8	+482801	6.27
4867				124839.4	+601912	5.85
4868				125012.0	-602403	6.75
4869	30		Com	124917.4	+273308	5.78
4870		Iot	Oct	125458.6	-850724	5.46
4871				125019.6	-482735	6.24
4872				125057.9	-524715	5.73
4873				125017.4	+225148	6.43
4874				125041.2	-335958	4.91
4875				125010.7	+373101	5.89
4876				125117.8	-601947	5.72
4877				125122.9	-102018	6.41
4878	37		Vir	125136.9	+030324	6.02
4879				125156.8	-394051	5.98
4880				125205.3	-480539	6.33
4881				125157.9	-264417	6.15
4882				125224.6	-534946	6.24
4883	31		Com	125141.9	+273226	4.94
4884	32		Com	125212.3	+170426	6.32
4885				125303.9	-545709	5.93
4886				125227.6	+160721	6.30
4887				125321.8	-601943	5.76
4888				125306.9	-485636	4.33
4889				125326.2	-401044	4.27
4890		Kap	Cru	125349.1	-602237	5.90
4891	38		Vir	125311.2	-033311	6.11
4892				124906.6	+832505	5.85
4893				124913.6	+832446	5.28
4894	35		Com	125317.8	+211442	4.90
4895				125422.0	-582550	6.58
4896				125338.1	-041326	6.44
4897		Lam	Cru	125439.2	-590848	4.62
